policy_loss,explained_variance,value_loss,total_timesteps,fps,nupdates,policy_entropy
0.001284800935536623,0.9410225562751293,0.2100864201784134,1766520,1883,6309,0.06705384701490402
0.0003011333174072206,0.9559833519160748,0.1669788509607315,1766800,1883,6310,0.09125784784555435
-0.0017475133063271642,0.9748453740030527,0.07020946592092514,1767080,1883,6311,0.07124222069978714
-0.00730774225667119,0.976875951513648,0.08814096450805664,1767360,1883,6312,0.09317655861377716
-0.006649186369031668,0.9684957340359688,0.09956419467926025,1767640,1883,6313,0.07641924917697906
-0.010027466341853142,0.974372735247016,0.07938202470541,1767920,1883,6314,0.11812174320220947
-0.0062269060872495174,0.9737128298729658,0.10178922861814499,1768200,1884,6315,0.07269299030303955
-0.001571525470353663,0.9610104113817215,0.1318020075559616,1768480,1883,6316,0.07762973755598068
-0.009300307370722294,0.9651124477386475,0.13081303238868713,1768760,1883,6317,0.08047646284103394
-0.011092185974121094,0.955557968467474,0.1729409098625183,1769040,1883,6318,0.07733602821826935
-6.6629727371037e-05,0.9395954646170139,0.20562560856342316,1769320,1884,6319,0.08489274978637695
0.0006440047291107476,0.9507803097367287,0.1819661408662796,1769600,1884,6320,0.09244447201490402
0.008238201029598713,0.9601613320410252,0.15894323587417603,1769880,1884,6321,0.08338069915771484
-0.017596937716007233,0.9421065412461758,0.2085139900445938,1770160,1884,6322,0.07901836186647415
-0.024681027978658676,0.9571175612509251,0.1684122085571289,1770440,1884,6323,0.07023207098245621
-0.01770135574042797,0.9300400465726852,0.25263744592666626,1770720,1884,6324,0.07610710710287094
0.0003694443148560822,0.9071722403168678,0.31190839409828186,1771000,1884,6325,0.07025082409381866
-0.008345630019903183,0.9434404596686363,0.23018357157707214,1771280,1884,6326,0.06912745535373688
-0.0011356968898326159,0.9457460008561611,0.24758388102054596,1771560,1884,6327,0.07108156383037567
-0.022789057344198227,0.9496207870543003,0.15807151794433594,1771840,1884,6328,0.08069789409637451
0.005547095090150833,0.9617636948823929,0.11631128937005997,1772120,1884,6329,0.08103787899017334
0.0022068137768656015,0.9391794204711914,0.25124287605285645,1772400,1884,6330,0.07865506410598755
-0.016359688714146614,0.9124075770378113,0.34947434067726135,1772680,1884,6331,0.09285556524991989
-0.0009643975645303726,0.8893968313932419,0.3805285096168518,1772960,1884,6332,0.07885338366031647
0.002750865649431944,0.9428028501570225,0.2100399285554886,1773240,1884,6333,0.07201585173606873
-0.006105357781052589,0.9557938799262047,0.16108335554599762,1773520,1884,6334,0.06937849521636963
-0.026499981060624123,0.929279126226902,0.2717272639274597,1773800,1884,6335,0.056298188865184784
-0.0009100817842409015,0.979785842821002,0.0899932011961937,1774080,1884,6336,0.06098925694823265
-0.01412122417241335,0.8883190006017685,0.3774612247943878,1774360,1884,6337,0.095596082508564
-0.00239448226056993,0.9665940962731838,0.13076147437095642,1774640,1884,6338,0.09052814543247223
0.0055703031830489635,0.9811622500419617,0.0860401839017868,1774920,1884,6339,0.07250611484050751
0.007023447658866644,0.9441490843892097,0.19973114132881165,1775200,1884,6340,0.08543036878108978
-0.007528006099164486,0.9494988583028316,0.16733169555664062,1775480,1884,6341,0.08556047081947327
-0.0010104445973411202,0.9672020375728607,0.11957694590091705,1775760,1884,6342,0.08044687658548355
-0.006313012447208166,0.9656604565680027,0.18532554805278778,1776040,1884,6343,0.05943119898438454
0.0017548997420817614,0.9553534537553787,0.17909900844097137,1776320,1884,6344,0.08754744380712509
