#{"t_start": 1514340648.9094906, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
0,2,18.848905
2.0,3,18.863113
3.0,4,18.87903
0,2,18.962665
1.0,2,18.971015
4.0,5,18.991321
1.0,2,19.001922
0,2,19.015096
1.0,2,19.022725
2.0,3,19.035957
3.0,4,19.131879
2.0,3,19.142495
0,2,19.15204
0,2,19.160627
0,2,19.171371
1.0,2,19.17928
4.0,5,19.200651
0,2,19.208905
0,2,19.285741
4.0,5,19.309494
1.0,2,19.318813
1.0,2,19.328022
0,2,19.335797
0,2,19.347847
3.0,4,19.367288
0,2,19.379079
0,2,19.462408
1.0,2,19.469533
0,2,19.476947
1.0,2,19.484816
0,2,19.49152
1.0,2,19.50078
2.0,3,19.512963
1.0,2,19.521126
0,2,19.53949
0,2,19.626872
1.0,2,19.634802
1.0,2,19.641849
0,2,19.65077
0,2,19.661316
0,2,19.669304
4.0,5,19.691503
2.0,3,19.703924
0,2,19.787228
1.0,2,19.795375
0,2,19.803411
1.0,2,19.814783
0,2,19.822725
1.0,2,19.831135
2.0,3,19.847516
4.0,5,19.870921
1.0,2,19.949285
3.0,4,19.965914
0,2,19.97392
0,2,19.983146
0,2,19.990806
4.0,5,20.011627
1.0,2,20.02046
0,2,20.029191
1.0,2,20.104696
1.0,2,20.113174
1.0,2,20.12348
2.0,3,20.136477
1.0,2,20.147887
3.0,4,20.163818
0,2,20.172149
0,2,20.179461
1.0,2,20.263378
2.0,3,20.277423
0,2,20.284446
2.0,3,20.296643
1.0,2,20.304673
0,2,20.310376
5.0,6,20.344978
2.0,3,20.437898
0,2,20.447377
0,2,20.456893
4.0,5,20.477827
2.0,3,20.490527
0,2,20.499158
3.0,4,20.513954
2.0,3,20.591974
1.0,2,20.601315
2.0,3,20.619644
2.0,3,20.632078
0,2,20.640896
1.0,2,20.649508
0,2,20.658217
0,2,20.665899
3.0,4,20.744367
0,2,20.751329
1.0,2,20.758832
5.0,6,20.795329
1.0,2,20.802178
0,2,20.810478
7.0,8,20.914317
1.0,2,20.922666
2.0,3,20.932107
1.0,2,20.940908
1.0,2,20.951313
1.0,2,20.961966
3.0,4,20.980864
4.0,5,21.073316
0,2,21.081283
0,2,21.088276
3.0,4,21.105618
3.0,4,21.120736
2.0,3,21.130945
1.0,2,21.207235
2.0,3,21.220799
2.0,3,21.233413
2.0,3,21.246883
1.0,2,21.257746
1.0,2,21.267904
0,2,21.275134
2.0,3,21.28853
3.0,4,21.37202
0,2,21.379084
4.0,5,21.397425
2.0,3,21.409472
1.0,2,21.421737
0,2,21.430866
0,2,21.44208
2.0,3,21.528679
3.0,4,21.544091
1.0,2,21.55452
5.0,6,21.577262
1.0,2,21.583946
1.0,2,21.590927
0,2,21.655744
2.0,3,21.67131
1.0,2,21.682036
0,2,21.691231
0,2,21.701271
0,2,21.708066
0,2,21.717068
2.0,3,21.729875
4.0,5,21.821209
4.0,5,21.840506
4.0,5,21.865231
2.0,3,21.878823
1.0,2,21.88659
1.0,2,21.895633
1.0,2,21.98509
0,2,21.994671
1.0,2,22.003933
0,2,22.010977
1.0,2,22.017442
0,2,22.024797
3.0,4,22.044217
1.0,2,22.052809
1.0,2,22.065679
3.0,4,22.155722
2.0,3,22.169929
1.0,2,22.179988
0,2,22.190145
1.0,2,22.19795
0,2,22.205909
0,2,22.215223
0,2,22.224051
0,2,22.233222
3.0,4,22.311554
1.0,2,22.32046
0,2,22.32782
0,2,22.336764
0,2,22.344076
4.0,5,22.365674
0,2,22.378199
2.0,3,22.46921
2.0,3,22.481484
2.0,3,22.493652
2.0,3,22.504861
3.0,4,22.520726
0,2,22.529547
3.0,4,22.632059
1.0,2,22.639363
3.0,4,22.654659
2.0,3,22.667813
1.0,2,22.675276
0,2,22.68349
0,2,22.690698
1.0,2,22.698491
1.0,2,22.706607
2.0,3,22.785606
1.0,2,22.794062
2.0,3,22.80822
1.0,2,22.816376
3.0,4,22.832181
0,2,22.840934
1.0,2,22.851485
1.0,2,22.859553
0,2,22.944284
3.0,4,22.96565
0,2,22.973496
0,2,22.983344
1.0,2,22.992844
0,2,23.001437
1.0,2,23.010549
0,2,23.022972
1.0,2,23.035394
3.0,4,23.128618
1.0,2,23.139281
0,2,23.146732
0,2,23.156193
1.0,2,23.16479
